"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"325"	"mmu00071"	"13118"	"Cyp4a12b"	"Fatty acid degradation"
"326"	"mmu00071"	"13119"	"Cyp4a14"	"Fatty acid degradation"
"327"	"mmu00071"	"13177"	"Eci1"	"Fatty acid degradation"
"328"	"mmu00071"	"14081"	"Acsl1"	"Fatty acid degradation"
"329"	"mmu00071"	"15107"	"Hadh"	"Fatty acid degradation"
"330"	"mmu00071"	"216739"	"Acsl6"	"Fatty acid degradation"
"331"	"mmu00071"	"230639"	"Cyp4a29"	"Fatty acid degradation"
"332"	"mmu00071"	"231086"	"Hadhb"	"Fatty acid degradation"
"333"	"mmu00071"	"235674"	"Acaa1b"	"Fatty acid degradation"
"334"	"mmu00071"	"23986"	"Eci2"	"Fatty acid degradation"
"335"	"mmu00071"	"26876"	"Adh4"	"Fatty acid degradation"
"336"	"mmu00071"	"270076"	"Gcdh"	"Fatty acid degradation"
"337"	"mmu00071"	"277753"	"Cyp4a12a"	"Fatty acid degradation"
